id,doc_kind,title,lifecycle_status,custom_attributes,last_referenced
DOC-029,other,10 — Permission & Role Matrix (Deliverable 13),Draft,"{""v1"": {""path"": ""domain/permission-role-matrix.md""}}",
DOC-030,other,43 — Post-Release Operating Model (Deliverable 59),Draft,"{""v1"": {""path"": ""domain/post-release-operating-model.md""}}",
DOC-031,other,05 — Product Vision and Principles,Draft,"{""v1"": {""path"": ""domain/product-vision-and-principles.md""}}",
DOC-032,other,27 — Reporting & Dashboards (Deliverable 35),Draft,"{""v1"": {""path"": ""domain/reporting-dashboards.md""}}",
DOC-033,other,34 — Repository Structure (Deliverable 42),Draft,"{""v1"": {""path"": ""domain/repository-structure.md""}}",
DOC-034,other,06 — Scope and Out-of-Scope,Draft,"{""v1"": {""path"": ""domain/scope-and-out-of-scope.md""}}",
DOC-035,other,30 — Search & Traceability Model (Deliverable 38),Draft,"{""v1"": {""path"": ""domain/search-and-traceability.md""}}",
DOC-036,other,25 — Security Controls (Deliverable 33),Draft,"{""v1"": {""path"": ""domain/security-controls.md""}}",
DOC-037,other,24 — Security Threat Model (Deliverable 32),Draft,"{""v1"": {""path"": ""domain/security-threat-model.md""}}",
DOC-038,other,04 — Stakeholders & User-Role Analysis,Draft,"{""v1"": {""path"": ""domain/stakeholders.md""}}",
DOC-039,other,22 — Standards and Best Practices (Deliverable 30),Draft,"{""v1"": {""path"": ""domain/standards-and-best-practices.md""}}",
DOC-040,other,ACMP Tarseem Analysis and Integration Plan,Draft,"{""v1"": {""path"": ""domain/tarseem-analysis.md""}}",
DOC-041,other,09 — Topic Taxonomy,Draft,"{""v1"": {""path"": ""domain/topic-taxonomy.md""}}",
DOC-042,other,39 — User Stories: PH-1 MVP (Deliverable 47),Draft,"{""v1"": {""path"": ""domain/user-stories-mvp.md""}}",
DOC-043,other,ACMP Webex Integration Feasibility Analysis,Draft,"{""v1"": {""path"": ""domain/webex-feasibility.md""}}",
DOC-044,other,Webex Integration — Use-Case Flows & Enrichment Backlog,Draft,"{""v1"": {""path"": ""domain/webex-use-cases.md""}}",
DOC-045,other,13 — Workflow Definitions (Deliverable 16),Draft,"{""v1"": {""path"": ""domain/workflows.md""}}",
DOC-046,other,Checkpoints & Release Gates — ACMP,Approved,"{""v1"": {""path"": ""execution/checkpoints.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.1.0"", ""updated"": ""2026-07-06"", ""owner"": ""lead-secretary""}}}",
DOC-047,other,Definition of Done — ACMP,Approved,"{""v1"": {""path"": ""execution/definition-of-done.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.2.0"", ""updated"": ""2026-07-17"", ""owner"": ""lead-secretary""}}}",
DOC-048,contributing,Contributing — ACMP,Approved,"{""v1"": {""path"": ""governance/contributing.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.1.0"", ""updated"": ""2026-07-06"", ""owner"": ""lead-secretary""}}}",
DOC-049,other,Glossary — ACMP,Approved,"{""v1"": {""path"": ""governance/glossary.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.0.0"", ""updated"": ""2026-07-06"", ""owner"": ""lead-secretary""}}, ""FREEZE_EXCEPTION_2026_09_10"": ""DEC-167 q2. docs/ is the frozen read-only archive (AGENTS.md, superseded 2026-07-22), and this file plus docs/README.md section G each received ONE one-line pointer edit in PR #392 (squash 25c96733): the preamble sentence that read 'EN-AR term pairing is maintained in the design and i18n resources, not in this file' now names src/Acmp.Web/src/i18n/glossary.json (DOC-071) as the canonical bilingual glossary. The operator chose the edit over leaving the archive byte-frozen with an annotation, because WBS-40.1's own text requires the redirect and a pointer naming an EN-only file '(EN <-> AR)' is the exact circular reference DW-069 and LL-010 record. First edit to either file since the July migration commit be632113. The exception is scoped to these pointer edits and is not licence to edit the archive for any other reason."", ""superseded_for_bilingual_terms_by"": ""DOC-071. This document keeps the 22 EN definitions; it is no longer a claimant for the EN-AR pairing."", ""related"": ""DOC-071, WBS-40.1, DW-069, LL-010, DEC-167 q2, PR #392.""}",2026-09-10T12:51:56Z
DOC-050,governance,Governance — ACMP,Approved,"{""v1"": {""path"": ""governance/governance.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.0.0"", ""updated"": ""2026-07-06"", ""owner"": ""lead-secretary""}}}",
DOC-051,naming,Naming Conventions — ACMP,Approved,"{""v1"": {""path"": ""governance/naming-conventions.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.1.0"", ""updated"": ""2026-07-06"", ""owner"": ""lead-secretary""}}}",
DOC-052,other,RESUME PROMPT — P17b final slice: decision-issuance UI + AC-014 badge,Draft,"{""v1"": {""path"": ""handoff/RESUME-p17b-decision-issue-ui.md""}}",
DOC-053,other,Roadmap — ACMP,Approved,"{""v1"": {""path"": ""planning/roadmap.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.2.0"", ""updated"": ""2026-07-17"", ""owner"": ""lead-secretary""}}}",
DOC-054,other,Work Breakdown — ACMP,Approved,"{""v1"": {""path"": ""planning/work-breakdown.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.1.0"", ""updated"": ""2026-07-06"", ""owner"": ""lead-secretary""}}}",
DOC-055,other,ACMP Design-Parity Ledger,Approved,"{""v1"": {""path"": ""progress/design-parity-ledger.md"", ""front_matter"": {""artifact"": ""design-parity-ledger"", ""status"": ""active"", ""version"": ""v1"", ""updated"": ""2026-06-26""}}}",
DOC-056,other,ACMP Progress Log,Approved,"{""v1"": {""path"": ""progress/progress-log.md"", ""front_matter"": {""artifact"": ""progress-log"", ""status"": ""active"", ""version"": ""v1"", ""updated"": ""2026-07-21""}}}",
DOC-057,readme,ACMP — execution-ready package,Approved,"{""v1"": {""path"": ""README.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.1.0"", ""updated"": ""2026-07-06"", ""owner"": ""lead-secretary""}}}",
DOC-058,other,Constraint Register — ACMP,Approved,"{""v1"": {""path"": ""requirements/constraint-register.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.0.0"", ""updated"": ""2026-07-06"", ""owner"": ""lead-secretary""}}}",
DOC-059,other,Dependency Register — ACMP,Approved,"{""v1"": {""path"": ""requirements/dependency-register.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.0.0"", ""updated"": ""2026-07-06"", ""owner"": ""lead-secretary""}}}",
DOC-060,other,Functional Requirements — ACMP,Approved,"{""v1"": {""path"": ""requirements/functional.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.0.0"", ""updated"": ""2026-07-06"", ""owner"": ""lead-secretary""}}}",
DOC-061,other,Invariant Register — ACMP,Approved,"{""v1"": {""path"": ""requirements/invariant-register.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.0.0"", ""updated"": ""2026-07-06"", ""owner"": ""lead-secretary + Claude Code execution agent""}}}",
DOC-062,other,Non-Functional Requirements — ACMP,Approved,"{""v1"": {""path"": ""requirements/non-functional.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.0.0"", ""updated"": ""2026-07-06"", ""owner"": ""lead-secretary""}}}",
DOC-063,other,Risk Register — ACMP,Approved,"{""v1"": {""path"": ""risks/risk-register.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.0.0"", ""updated"": ""2026-07-06"", ""owner"": ""lead-secretary""}}}",
DOC-064,other,Acceptance Criteria — ACMP,Approved,"{""v1"": {""path"": ""validation/acceptance-criteria.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.0.0"", ""updated"": ""2026-07-06"", ""owner"": ""lead-secretary""}}}",
DOC-065,other,PH-0 — Validation,Approved,"{""v1"": {""path"": ""validation/ph0-validation.md"", ""front_matter"": {""artifact"": ""ph0-validation"", ""status"": ""active"", ""version"": ""v1"", ""updated"": ""2026-06-25""}}}",
DOC-066,other,ACMP Rebuild Findings — Forensic Self-Review,Approved,"{""v1"": {""path"": ""validation/rebuild-findings.md"", ""front_matter"": {""artifact"": ""rebuild-findings"", ""status"": ""active"", ""version"": ""v1"", ""updated"": ""2026-06-30"", ""author"": ""forensic self-review (read-only)"", ""purpose"": ""Drive a design update + a second re-fidelity rebuild. Findings only — no code/design/docs changed.""}}}",
DOC-067,other,Security Controls Audit — ACMP (OWASP ASVS 5.0 L2),Approved,"{""v1"": {""path"": ""validation/security-controls-audit.md"", ""front_matter"": {""status"": ""Living"", ""version"": ""0.3.0"", ""updated"": ""2026-07-17"", ""owner"": ""Claude Code execution agent"", ""generation"": ""derived""}}}",
DOC-068,other,Test Strategy — ACMP,Approved,"{""v1"": {""path"": ""validation/test-strategy.md"", ""front_matter"": {""status"": ""Approved"", ""version"": ""1.1.0"", ""updated"": ""2026-07-06"", ""owner"": ""lead-secretary""}}}",
DOC-069,other,Repair & re-population record — Tamheed store,Approved,"{""origin"": ""tamheed-repair 2026-07-22/23"", ""purpose"": ""the durable in-package record of the 2.3.0 migration damage, the hand-repair, and the 2.4.0 re-population; the defect register is the DEF- family""}",
DOC-070,other,"OWASP ASVS 5.0 Level 2 Evidence Pack — ACMP (NFR-018 input, not conformance)",Approved,"{""v1"": {""path"": ""tamheed-package/docs/asvs-l2-evidence-pack.md"", ""front_matter"": {""status"": ""Living"", ""version"": ""1.0.0"", ""updated"": ""2026-08-29"", ""owner"": ""Claude Code execution agent"", ""generation"": ""derived""}}, ""built_by"": ""WBS-25.2 / DW-079, DEC-091 d2 and d3"", ""location_note"": ""FIRST narrative document to live OUTSIDE docs/. DEC-091 d3 established tamheed-package/docs/ as the home for post-freeze prose, because docs/ is the frozen read-only archive superseded 2026-07-22 and all 69 prior DOC- rows point into it."", ""does_not_close"": ""NFR-018 - only an external assessor's report can evidence that requirement, and no acceptance criterion may be written from this pack (trap 16c)"", ""checker"": ""scripts/check-asvs-pack-paths.mjs asserts every cited repository path exists and fails closed below 12 citations; wired into ci.yml""}",2026-08-29T10:46:01Z
DOC-071,other,EN-AR terminology glossary — the canonical bilingual terms `NFR-039` names (`src/Acmp.Web/src/i18n/glossary.json`),Approved,"{""path"": ""src/Acmp.Web/src/i18n/glossary.json"", ""built_by"": ""WBS-40.1 / DW-069 step (a), DEC-167 q1. PR #392 -> squash 25c96733; merge-commit runs CI 34477817666 and Security 34477817797 success."", ""location_note"": ""The SECOND narrative artefact outside docs/ (DOC-070 was the first), and the first that is machine-readable: it sits beside the two locale bundles it governs so the CI term check can read it directly. One file, no mirror (DEC-167 q1 declined both the tamheed-package/docs/ home and a generated markdown mirror). The three former claimants - docs/README.md section G, docs/governance/glossary.md and design-handoff/claude-design-input-package.md line 113 - now point HERE, and this file points nowhere (LL-010: the circular pointer is closed)."", ""content_state_2026_09_10"": ""24 terms: DOC-049's 22 plus Architecture -> الهيكلة (DEC-032) and Secretary of the Committee -> أمين سر اللجنة (design package line 20). ONLY those two carry an Arabic value (status canonical); the other 22 are status proposed with ar null, because every Arabic value is the operator's ruling (DEC-156 d3) and an agent never fills one in from ar.json, which is the artefact the glossary is checked against. allowedVariants is empty until the rulings land. Hence lifecycle Draft: the artefact exists and is the single source; its content is not yet ruled."", ""the_slate"": ""tamheed-package/docs/i18n-term-slate.md, generated by scripts/gen-i18n-term-slate.mjs (DEC-165 n4 shape, DEC-167 q3 medium): section A = the 24 terms with every surface and rendering, section B = the 64 other short labels with more than one rendering, 88 Ruling: lines. Census 1,976 keys paired / 1,098 short labels / 77 multi-rendering, identical to DEC-156 d2. Regeneration over unchanged inputs is byte-identical."", ""what_is_NOT_done"": ""DW-069 step (b) - the operator's rulings - and step (c) - scripts/check-i18n-terms.mjs wired into ci.yml's frontend job. The check waits by DEC-156 d2 and DEC-110 d6: it cannot pass until the allowlist is authored, and a red gate on main is forbidden. No acceptance criterion for NFR-039 exists or may be written (DW-069, trap 16c)."", ""related"": ""NFR-039, DW-069, DW-076, WBS-40.1, WBS-40.2, DOC-049, DEC-032, DEC-156, DEC-165 n4, DEC-167, LL-010, PR #392."", ""content_state_2026_09_10_RULED"": ""Every one of the 24 terms is ruled: 2 canonical by prior authority (DEC-032, the design package), 22 ruled by the operator in DEC-169 (ar is one string for a canonical ruling, an array for allowed context variants), plus 64 allowedVariants entries for the other short labels with more than one rendering. Applied by scripts/apply-i18n-term-slate.mjs from tamheed-package/docs/i18n-term-slate.md, PR #396 -> 421a8139. Hence lifecycle Approved: the reason this row stood at Draft - content not yet ruled - is gone."", ""superseded_keys_2026_09_10"": ""content_state_2026_09_10 and what_is_NOT_done are the Draft-era record and are kept unedited; both are superseded by content_state_2026_09_10_RULED. Steps (b) and (c) are done (DEC-169; PR #396). Still not done, deliberately: no acceptance criterion for NFR-039 exists (DW-069, trap 16c)."", ""enforced_by"": ""scripts/check-i18n-terms.mjs --self-test, ci.yml frontend job (PR #396).""}",2026-09-10T16:57:38Z
