id,kind,title,statement,priority,mvp,lifecycle_status,disposition,disposition_reason_ref,source_kind,source_span,introduced_in,retired_in,custom_attributes,last_referenced
FR-011,functional,"All background jobs shall be managed via Hangfire; job status, history, and failures are visible to Administrator.","All background jobs shall be managed via Hangfire; job status, history, and failures are visible to Administrator.",M,1,Implemented,,,brief,README §A; digest §1,1,,"{""v1"": {""ID"": ""FR-011"", ""Requirement"": ""All background jobs shall be managed via Hangfire; job status, history, and failures are visible to Administrator."", ""Priority"": ""M"", ""Source"": ""README §A; digest §1"", ""Phase"": ""1""}}",
FR-012,functional,The system shall run database migrations (EF Core code-first) automatically on startup in non-production environments and via explicit CLI command in production.,The system shall run database migrations (EF Core code-first) automatically on startup in non-production environments and via explicit CLI command in production.,M,1,Approved,,,brief,digest §4,1,,"{""v1"": {""ID"": ""FR-012"", ""Requirement"": ""The system shall run database migrations (EF Core code-first) automatically on startup in non-production environments and via explicit CLI command in production."", ""Priority"": ""M"", ""Source"": ""digest §4"", ""Phase"": ""1""}}",
FR-013,functional,"The system shall externalize all configuration (connection strings, secrets, URLs, feature flags) via environment variables and/or a secrets manager; no secrets in source code or container images.","The system shall externalize all configuration (connection strings, secrets, URLs, feature flags) via environment variables and/or a secrets manager; no secrets in source code or container images.",M,1,Approved,,,brief,digest §4; derived: security,1,,"{""v1"": {""ID"": ""FR-013"", ""Requirement"": ""The system shall externalize all configuration (connection strings, secrets, URLs, feature flags) via environment variables and/or a secrets manager; no secrets in source code or container images."", ""Priority"": ""M"", ""Source"": ""digest §4; derived: security"", ""Phase"": ""1""}}",
FR-014,functional,"As any user, I want to see clear, actionable validation error messages in my active language (EN or AR) when I submit invalid data, so that I can correct mistakes efficiently.","As any user, I want to see clear, actionable validation error messages in my active language (EN or AR) when I submit invalid data, so that I can correct mistakes efficiently.",M,1,Approved,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-008"", ""User Story"": ""As any user, I want to see clear, actionable validation error messages in my active language (EN or AR) when I submit invalid data, so that I can correct mistakes efficiently."", ""FR-IDs"": ""FR-014"", ""Priority"": ""M"", ""Size"": ""S""}}",
FR-015,functional,"As any user, I want a confirmation prompt when I navigate away from a form with unsaved changes, so that I do not accidentally lose my work.","As any user, I want a confirmation prompt when I navigate away from a form with unsaved changes, so that I do not accidentally lose my work.",M,1,Approved,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-009"", ""User Story"": ""As any user, I want a confirmation prompt when I navigate away from a form with unsaved changes, so that I do not accidentally lose my work."", ""FR-IDs"": ""FR-015"", ""Priority"": ""M"", ""Size"": ""S""}}",
FR-016,functional,"As an Administrator, I want to create a user account by providing name, email, and stream membership, so that the person can log in via Keycloak and access the system with appropriate scope.","As an Administrator, I want to create a user account by providing name, email, and stream membership, so that the person can log in via Keycloak and access the system with appropriate scope.",M,1,Approved,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-011"", ""User Story"": ""As an Administrator, I want to create a user account by providing name, email, and stream membership, so that the person can log in via Keycloak and access the system with appropriate scope."", ""FR-IDs"": ""FR-016, FR-017"", ""Priority"": ""M"", ""Size"": ""M""}}",
FR-017,functional,"Administrator shall be able to create a user account with name, email, and stream membership; the user's global role is sourced from Keycloak group/realm-role claims and mapped to ACMP roles on login.","Administrator shall be able to create a user account with name, email, and stream membership; the user's global role is sourced from Keycloak group/realm-role claims and mapped to ACMP roles on login. The user receives an in-app notification on first login (email deferred).",M,1,Approved,,,brief,brief §6.1; ADR-0004,1,,"{""v1"": {""ID"": ""FR-017"", ""Requirement"": ""Administrator shall be able to create a user account with name, email, and stream membership; the user's global role is sourced from Keycloak group/realm-role claims and mapped to ACMP roles on login. The user receives an in-app notification on first login (email deferred)."", ""Priority"": ""M"", ""Source"": ""brief §6.1; ADR-0004"", ""Phase"": ""1""}}",
FR-018,functional,"Global roles (Chairman, Secretary, Member, Reviewer, Auditor, Administrator, Submitter, Guest/Presenter) are sourced from Keycloak group/realm-role claims and mapped to ACMP roles on token validation;","Global roles (Chairman, Secretary, Member, Reviewer, Auditor, Administrator, Submitter, Guest/Presenter) are sourced from Keycloak group/realm-role claims and mapped to ACMP roles on token validation; ACMP does not store or assign global roles independently. Administrator manages committee membership, stream scope, and per-topic assignments within ACMP.",M,1,Approved,,,brief,README §C; ADR-0004,1,,"{""v1"": {""ID"": ""FR-018"", ""Requirement"": ""Global roles (Chairman, Secretary, Member, Reviewer, Auditor, Administrator, Submitter, Guest/Presenter) are sourced from Keycloak group/realm-role claims and mapped to ACMP roles on token validation; ACMP does not store or assign global roles independently. Administrator manages committee membership, stream scope, and per-topic assignments within ACMP."", ""Priority"": ""M"", ""Source"": ""README §C; ADR-0004"", ""Phase"": ""1""}}",
FR-019,functional,"As an Administrator, I want to assign a user to one or more streams, so that their topic access and contributions are correctly scoped to their area of responsibility.","As an Administrator, I want to assign a user to one or more streams, so that their topic access and contributions are correctly scoped to their area of responsibility.",M,1,Approved,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-012"", ""User Story"": ""As an Administrator, I want to assign a user to one or more streams, so that their topic access and contributions are correctly scoped to their area of responsibility."", ""FR-IDs"": ""FR-019"", ""Priority"": ""M"", ""Size"": ""M""}}",
FR-020,functional,"As an Administrator, I want to deactivate a user account, so that a departing team member can no longer log in while their historical votes, authorship, and actions remain intact and attributed.","As an Administrator, I want to deactivate a user account, so that a departing team member can no longer log in while their historical votes, authorship, and actions remain intact and attributed.",M,1,Implemented,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-013"", ""User Story"": ""As an Administrator, I want to deactivate a user account, so that a departing team member can no longer log in while their historical votes, authorship, and actions remain intact and attributed."", ""FR-IDs"": ""FR-020"", ""Priority"": ""M"", ""Size"": ""M""}}",
FR-021,functional,"As any authenticated user, I want to view a committee member directory listing all active users with their name, role, stream membership, and email, so that I can identify who is on the committee and ","As any authenticated user, I want to view a committee member directory listing all active users with their name, role, stream membership, and email, so that I can identify who is on the committee and contact them.",M,1,Implemented,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-014"", ""User Story"": ""As any authenticated user, I want to view a committee member directory listing all active users with their name, role, stream membership, and email, so that I can identify who is on the committee and contact them."", ""FR-IDs"": ""FR-021"", ""Priority"": ""M"", ""Size"": ""S""}}",
FR-022,functional,"As a Secretary, I want to assign per-topic capabilities (Owner, Assignee, Presenter) to users independently of their global role, so that a Member can be made Presenter on a topic without a global rol","As a Secretary, I want to assign per-topic capabilities (Owner, Assignee, Presenter) to users independently of their global role, so that a Member can be made Presenter on a topic without a global role change.",M,1,Approved,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-015"", ""User Story"": ""As a Secretary, I want to assign per-topic capabilities (Owner, Assignee, Presenter) to users independently of their global role, so that a Member can be made Presenter on a topic without a global role change."", ""FR-IDs"": ""FR-022"", ""Priority"": ""M"", ""Size"": ""M""}}",
FR-023,functional,"The system shall support time-boxed Guest/Presenter access: a secretary can invite an external presenter with view-only access scoped to a specific meeting or topic, expiring automatically after the m","The system shall support time-boxed Guest/Presenter access: a secretary can invite an external presenter with view-only access scoped to a specific meeting or topic, expiring automatically after the meeting date.",S,0,Approved,,,brief,brief §6.1; digest §3,1,,"{""v1"": {""ID"": ""FR-023"", ""Requirement"": ""The system shall support time-boxed Guest/Presenter access: a secretary can invite an external presenter with view-only access scoped to a specific meeting or topic, expiring automatically after the meeting date."", ""Priority"": ""S"", ""Source"": ""brief §6.1; digest §3"", ""Phase"": ""2""}}",
FR-024,functional,"Every user-facing page shall display only the navigation elements and actions the authenticated user's role is authorized to see; unauthorized actions are hidden, not merely disabled.","Every user-facing page shall display only the navigation elements and actions the authenticated user's role is authorized to see; unauthorized actions are hidden, not merely disabled.",M,1,Approved,,,brief,derived: RBAC/UX; brief §6.1,1,,"{""v1"": {""ID"": ""FR-024"", ""Requirement"": ""Every user-facing page shall display only the navigation elements and actions the authenticated user's role is authorized to see; unauthorized actions are hidden, not merely disabled."", ""Priority"": ""M"", ""Source"": ""derived: RBAC/UX; brief §6.1"", ""Phase"": ""1""}}",
FR-025,functional,"As a Submitter, Member, Secretary, or Chairman, I want to submit a new topic with title, description, type, urgency, source, affected streams, and optional target date, so that it enters the committee","As a Submitter, Member, Secretary, or Chairman, I want to submit a new topic with title, description, type, urgency, source, affected streams, and optional target date, so that it enters the committee's intake queue.",M,1,Implemented,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-016"", ""User Story"": ""As a Submitter, Member, Secretary, or Chairman, I want to submit a new topic with title, description, type, urgency, source, affected streams, and optional target date, so that it enters the committee's intake queue."", ""FR-IDs"": ""FR-025"", ""Priority"": ""M"", ""Size"": ""M""}}",
FR-026,functional,"As a topic submitter, I want the system to automatically assign my topic a canonical ID in the format TOP-YYYY-### when I submit it, so that I can reference and track it unambiguously.","As a topic submitter, I want the system to automatically assign my topic a canonical ID in the format `TOP-YYYY-###` when I submit it, so that I can reference and track it unambiguously.",M,1,Approved,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-017"", ""User Story"": ""As a topic submitter, I want the system to automatically assign my topic a canonical ID in the format `TOP-YYYY-###` when I submit it, so that I can reference and track it unambiguously."", ""FR-IDs"": ""FR-026"", ""Priority"": ""M"", ""Size"": ""S""}}",
FR-027,functional,"As a topic Owner or Secretary, I want to attach files (presentations, documents, diagrams, data sheets) to a topic, so that committee members can review supporting material before the meeting.","As a topic Owner or Secretary, I want to attach files (presentations, documents, diagrams, data sheets) to a topic, so that committee members can review supporting material before the meeting.",M,1,Approved,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-018"", ""User Story"": ""As a topic Owner or Secretary, I want to attach files (presentations, documents, diagrams, data sheets) to a topic, so that committee members can review supporting material before the meeting."", ""FR-IDs"": ""FR-027"", ""Priority"": ""M"", ""Size"": ""M""}}",
FR-028,functional,"As a topic Owner, I want to add free-text comments to a topic (timestamped and attributed), so that I can capture notes, updates, and clarifications in context without editing the core topic record.","As a topic Owner, I want to add free-text comments to a topic (timestamped and attributed), so that I can capture notes, updates, and clarifications in context without editing the core topic record.",M,1,Approved,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-019"", ""User Story"": ""As a topic Owner, I want to add free-text comments to a topic (timestamped and attributed), so that I can capture notes, updates, and clarifications in context without editing the core topic record."", ""FR-IDs"": ""FR-028"", ""Priority"": ""M"", ""Size"": ""S""}}",
FR-029,functional,"As a Secretary, I want to move a submitted topic into Triage, review its fields, and then accept it (assigning an Owner and confirming scope) or reject/defer it with a mandatory reason, so that only v","As a Secretary, I want to move a submitted topic into Triage, review its fields, and then accept it (assigning an Owner and confirming scope) or reject/defer it with a mandatory reason, so that only valid, well-scoped topics enter the active backlog.",M,1,Implemented,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-020"", ""User Story"": ""As a Secretary, I want to move a submitted topic into Triage, review its fields, and then accept it (assigning an Owner and confirming scope) or reject/defer it with a mandatory reason, so that only valid, well-scoped topics enter the active backlog."", ""FR-IDs"": ""FR-029"", ""Priority"": ""M"", ""Size"": ""M""}}",
FR-030,functional,"Secretary shall be able to convert a topic to a different type (e.g., convert a ResearchDiscovery to an ArchitectureDecision post-research), recording the conversion reason and creating a typed link b","Secretary shall be able to convert a topic to a different type (e.g., convert a ResearchDiscovery to an ArchitectureDecision post-research), recording the conversion reason and creating a typed link between the original and converted artifact.",S,0,Approved,,,brief,README §E; brief §6.2,1,,"{""v1"": {""ID"": ""FR-030"", ""Requirement"": ""Secretary shall be able to convert a topic to a different type (e.g., convert a ResearchDiscovery to an ArchitectureDecision post-research), recording the conversion reason and creating a typed link between the original and converted artifact."", ""Priority"": ""S"", ""Source"": ""README §E; brief §6.2"", ""Phase"": ""2""}}",
FR-031,functional,"As a Secretary or Chairman, I want to view the backlog as a sortable, filterable list showing title, type, urgency badge, status, owner, affected streams, and dates, so that I can quickly scan and man","As a Secretary or Chairman, I want to view the backlog as a sortable, filterable list showing title, type, urgency badge, status, owner, affected streams, and dates, so that I can quickly scan and manage the queue.",M,1,Approved,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-024"", ""User Story"": ""As a Secretary or Chairman, I want to view the backlog as a sortable, filterable list showing title, type, urgency badge, status, owner, affected streams, and dates, so that I can quickly scan and manage the queue."", ""FR-IDs"": ""FR-031"", ""Priority"": ""M"", ""Size"": ""M""}}",
FR-032,functional,"As a Secretary or Chairman, I want to view the backlog as a dense table with user-configurable columns (show/hide, reorder), so that power users can surface the fields most relevant to their workflow.","As a Secretary or Chairman, I want to view the backlog as a dense table with user-configurable columns (show/hide, reorder), so that power users can surface the fields most relevant to their workflow.",M,1,Approved,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-025"", ""User Story"": ""As a Secretary or Chairman, I want to view the backlog as a dense table with user-configurable columns (show/hide, reorder), so that power users can surface the fields most relevant to their workflow."", ""FR-IDs"": ""FR-032"", ""Priority"": ""M"", ""Size"": ""M""}}",
FR-033,functional,"As a Secretary or Chairman, I want to view the backlog as a kanban board with status columns, where dragging a card between columns changes its status (with permission check), so that I can visually m","As a Secretary or Chairman, I want to view the backlog as a kanban board with status columns, where dragging a card between columns changes its status (with permission check), so that I can visually manage flow.",M,1,Approved,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-026"", ""User Story"": ""As a Secretary or Chairman, I want to view the backlog as a kanban board with status columns, where dragging a card between columns changes its status (with permission check), so that I can visually manage flow."", ""FR-IDs"": ""FR-033"", ""Priority"": ""M"", ""Size"": ""L""}}",
FR-034,functional,"As a Secretary or Chairman, I want a keyboard-accessible alternative to drag-and-drop for reordering topics (e.g., move-up/move-down controls), so that the interface is operable without a mouse and me","As a Secretary or Chairman, I want a keyboard-accessible alternative to drag-and-drop for reordering topics (e.g., move-up/move-down controls), so that the interface is operable without a mouse and meets accessibility requirements.",M,1,Implemented,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-027"", ""User Story"": ""As a Secretary or Chairman, I want a keyboard-accessible alternative to drag-and-drop for reordering topics (e.g., move-up/move-down controls), so that the interface is operable without a mouse and meets accessibility requirements."", ""FR-IDs"": ""FR-034"", ""Priority"": ""M"", ""Size"": ""M""}}",
FR-035,functional,"As a Secretary or Chairman, I want to view the backlog as a calendar view showing topics by their scheduled meeting date, so that I can see how topics are spread across upcoming meetings.","As a Secretary or Chairman, I want to view the backlog as a calendar view showing topics by their scheduled meeting date, so that I can see how topics are spread across upcoming meetings.",M,1,Approved,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-028"", ""User Story"": ""As a Secretary or Chairman, I want to view the backlog as a calendar view showing topics by their scheduled meeting date, so that I can see how topics are spread across upcoming meetings."", ""FR-IDs"": ""FR-035"", ""Priority"": ""M"", ""Size"": ""M""}}",
FR-036,functional,The backlog shall be displayable as a timeline/Gantt-lite view showing topic date bars (created → target → scheduled → decided) with pan/zoom.,The backlog shall be displayable as a timeline/Gantt-lite view showing topic date bars (created → target → scheduled → decided) with pan/zoom.,S,0,Approved,,,brief,brief §6.3,1,,"{""v1"": {""ID"": ""FR-036"", ""Requirement"": ""The backlog shall be displayable as a timeline/Gantt-lite view showing topic date bars (created → target → scheduled → decided) with pan/zoom."", ""Priority"": ""S"", ""Source"": ""brief §6.3"", ""Phase"": ""2""}}",
FR-037,functional,"As a Secretary or Chairman, I want to drag-and-drop topics to reprioritize them in the backlog, with priority stored as an explicit ordinal field, so that the committee's session order is always expli","As a Secretary or Chairman, I want to drag-and-drop topics to reprioritize them in the backlog, with priority stored as an explicit ordinal field, so that the committee's session order is always explicit.",M,1,Approved,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-029"", ""User Story"": ""As a Secretary or Chairman, I want to drag-and-drop topics to reprioritize them in the backlog, with priority stored as an explicit ordinal field, so that the committee's session order is always explicit."", ""FR-IDs"": ""FR-037"", ""Priority"": ""M"", ""Size"": ""M""}}",
FR-038,functional,"As a Secretary, I want to see aging indicators on topics that have remained in the same status beyond their urgency SLA (Critical: 3d, Urgent: 7d, Normal: 21d), so that stalled work is immediately vis","As a Secretary, I want to see aging indicators on topics that have remained in the same status beyond their urgency SLA (Critical: 3d, Urgent: 7d, Normal: 21d), so that stalled work is immediately visible and I receive a background notification.",M,1,Implemented,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-030"", ""User Story"": ""As a Secretary, I want to see aging indicators on topics that have remained in the same status beyond their urgency SLA (Critical: 3d, Urgent: 7d, Normal: 21d), so that stalled work is immediately visible and I receive a background notification."", ""FR-IDs"": ""FR-038"", ""Priority"": ""M"", ""Size"": ""M""}}",
FR-039,functional,"As any committee member, I want to view a topic's detail page showing all fields, status history (with actor and timestamp), linked artifacts, and a traceability graph excerpt, so that I have a comple","As any committee member, I want to view a topic's detail page showing all fields, status history (with actor and timestamp), linked artifacts, and a traceability graph excerpt, so that I have a complete picture of a topic's journey.",M,1,Approved,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-031"", ""User Story"": ""As any committee member, I want to view a topic's detail page showing all fields, status history (with actor and timestamp), linked artifacts, and a traceability graph excerpt, so that I have a complete picture of a topic's journey."", ""FR-IDs"": ""FR-039"", ""Priority"": ""M"", ""Size"": ""L""}}",
FR-040,functional,"As a topic Owner or Secretary, I want topic editing to be permitted in early statuses (Draft, Submitted, Triage) and restricted (Secretary-only metadata edits) after Acceptance, so that the record can","As a topic Owner or Secretary, I want topic editing to be permitted in early statuses (Draft, Submitted, Triage) and restricted (Secretary-only metadata edits) after Acceptance, so that the record cannot be retroactively altered once the committee has engaged.",M,1,Approved,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-032"", ""User Story"": ""As a topic Owner or Secretary, I want topic editing to be permitted in early statuses (Draft, Submitted, Triage) and restricted (Secretary-only metadata edits) after Acceptance, so that the record cannot be retroactively altered once the committee has engaged."", ""FR-IDs"": ""FR-040"", ""Priority"": ""M"", ""Size"": ""M""}}",
FR-041,functional,"The system shall support topic templates (selectable by type on creation): template provides default description structure, required-field checklist, and suggested sections. Templates are managed in t","The system shall support topic templates (selectable by type on creation): template provides default description structure, required-field checklist, and suggested sections. Templates are managed in the Knowledge module.",S,0,Approved,,,brief,brief §6.2; brief §6.13,1,,"{""v1"": {""ID"": ""FR-041"", ""Requirement"": ""The system shall support topic templates (selectable by type on creation): template provides default description structure, required-field checklist, and suggested sections. Templates are managed in the Knowledge module."", ""Priority"": ""S"", ""Source"": ""brief §6.2; brief §6.13"", ""Phase"": ""2""}}",
FR-042,functional,"As a Secretary, I want to mark an accepted topic as Prepared once its presentation materials and supporting research are complete, so that the scheduling step only considers ready topics.","As a Secretary, I want to mark an accepted topic as Prepared once its presentation materials and supporting research are complete, so that the scheduling step only considers ready topics.",M,1,Implemented,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-022"", ""User Story"": ""As a Secretary, I want to mark an accepted topic as Prepared once its presentation materials and supporting research are complete, so that the scheduling step only considers ready topics."", ""FR-IDs"": ""FR-042"", ""Priority"": ""M"", ""Size"": ""S""}}",
FR-043,functional,"As a Secretary, I want to schedule a prepared topic to a specific meeting, moving it to Scheduled status, so that it appears on that meeting's agenda.","As a Secretary, I want to schedule a prepared topic to a specific meeting, moving it to Scheduled status, so that it appears on that meeting's agenda.",M,1,Approved,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-023"", ""User Story"": ""As a Secretary, I want to schedule a prepared topic to a specific meeting, moving it to Scheduled status, so that it appears on that meeting's agenda."", ""FR-IDs"": ""FR-043"", ""Priority"": ""M"", ""Size"": ""S""}}",
FR-044,functional,"As a Secretary, I want rejection and deferral reasons to be recorded as immutable events in the topic's history, so that the triage decision is always auditable and not erasable.","As a Secretary, I want rejection and deferral reasons to be recorded as immutable events in the topic's history, so that the triage decision is always auditable and not erasable.",M,1,Approved,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-021"", ""User Story"": ""As a Secretary, I want rejection and deferral reasons to be recorded as immutable events in the topic's history, so that the triage decision is always auditable and not erasable."", ""FR-IDs"": ""FR-044"", ""Priority"": ""M"", ""Size"": ""S""}}",
FR-045,functional,Secretary shall be able to Reopen a Closed or Rejected topic with a recorded reason; reopened topics re-enter the triage workflow.,Secretary shall be able to Reopen a Closed or Rejected topic with a recorded reason; reopened topics re-enter the triage workflow.,S,0,Approved,,,brief,README §E,1,,"{""v1"": {""ID"": ""FR-045"", ""Requirement"": ""Secretary shall be able to Reopen a Closed or Rejected topic with a recorded reason; reopened topics re-enter the triage workflow."", ""Priority"": ""S"", ""Source"": ""README §E"", ""Phase"": ""2""}}",
FR-046,functional,"As a Secretary, I want to create an agenda for a scheduled meeting by selecting topics from the backlog, setting presentation order, assigning a time-box per item, and assigning a presenter, so that t","As a Secretary, I want to create an agenda for a scheduled meeting by selecting topics from the backlog, setting presentation order, assigning a time-box per item, and assigning a presenter, so that the meeting has a structured plan.",M,1,Approved,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-033"", ""User Story"": ""As a Secretary, I want to create an agenda for a scheduled meeting by selecting topics from the backlog, setting presentation order, assigning a time-box per item, and assigning a presenter, so that the meeting has a structured plan."", ""FR-IDs"": ""FR-046"", ""Priority"": ""M"", ""Size"": ""M""}}",
FR-047,functional,"As a Secretary, I want to reorder agenda items via drag-and-drop with a keyboard-accessible alternative, so that the session order can be adjusted easily and accessibly.","As a Secretary, I want to reorder agenda items via drag-and-drop with a keyboard-accessible alternative, so that the session order can be adjusted easily and accessibly.",M,1,Implemented,,,brief,v1:register-row,1,,"{""v1"": {""US-ID"": ""US-034"", ""User Story"": ""As a Secretary, I want to reorder agenda items via drag-and-drop with a keyboard-accessible alternative, so that the session order can be adjusted easily and accessibly."", ""FR-IDs"": ""FR-047"", ""Priority"": ""M"", ""Size"": ""M""}}",
