id,document_id,heading,body,sort_order,custom_attributes,last_referenced
SEC-011,DOC-002,In one paragraph,"ACMP is a focused, auditable, bilingual (EN/AR) web platform that is the **single system of record for one Architecture Committee** — topic intake → backlog → agenda → meeting → minutes → voting → decision → ADR → action → risk → dependency, with end-to-end traceability. It replaces a text-file backlog and is deliberately **architecture governance, not generic project management**. It runs **on-prem, self-contained, for ≤20 users**. The MVP (PH-1) governance loop is **built and live through P12**; PH-2/PH-3 add diagrams, Webex, research/knowledge, and AI-assisted extraction.",2,,
SEC-012,DOC-002,Problem and objective,"The committee governs architecture through disconnected text files and ad-hoc documents: no single record, no traceability from need → decision → follow-up, no immutability on votes/decisions, no bilingual support. The objective is one auditable, immutable-where-it-matters, RTL-first system of record that makes governance fast, traceable, and tamper-evident.",3,,
SEC-013,DOC-002,Recommendation,"Build a **modular monolith** on .NET 8 / ASP.NET Core / EF Core with **SQL Server as the single datastore**, a **React + TypeScript + Vite** RTL-first frontend, **self-hosted Keycloak (OIDC)** for identity, and **self-hosted Hangfire / Seq / MinIO** — all **bundled in one Docker Compose stack** with zero external runtime services in v1 (Webex is the only external dependency, deferred to Phase 2). Diagrams via the **Tarseem** sidecar (Phase 2); research via the **optional Keystone** companion. Rationale: [architecture/architecture.md](architecture/architecture.md); options weighed in [architecture/technology-comparison.md](architecture/technology-comparison.md); decisions in [adrs/](adrs/).",4,,
SEC-014,DOC-002,Why this over the alternatives,"- **Modular monolith, not microservices** — right-sized for ≤20 users on-prem; distribution is pure cost here (ADR-0001).
- **SQL Server only, not polyglot** — transactional + columnstore reporting + full-text search from one engine; no second DB to run or back up (ADR-0003).
- **Self-hosted bundled Keycloak, not federate-to-org-IdP** — the org has no IdP; ACMP owns its realm and ships it (ADR-0015).
- **SQL FTS first, not a search cluster** — sufficient at scale; OpenSearch/Meilisearch only if it outgrows FTS (ADR-0011).",5,,
SEC-015,DOC-002,Scope at a glance,"| | Summary |
|---|---|
| MVP delivers (PH-1) | The full governance loop: intake→triage→agenda→meeting→vote→decision→action, RBAC+ABAC, in-app notifications, EN/AR+RTL, hash-chained audit, role dashboards, FTS, typed traceability, risks + basic dependencies |
| Full target adds (PH-2/3) | ADRs + Invariants, Research/Keystone import, Knowledge wiki, Tarseem diagrams + dependency graph, Webex adapter, impact analysis, expanded reporting, AI-assisted extraction (human-gated), email channel |
| Explicitly out of scope | Generic PM, in-app diagram engine, BPM engine, mobile-native, public self-registration, real-time collab editing, Kubernetes/broker, custom search cluster, external partner portal (see [charter](00-charter.md) §Out of scope) |",6,,
SEC-016,DOC-002,Plan and effort,"Four phases: **PH-0** discovery/validation (done), **PH-1** MVP governance (done, delivered incrementally through P12), **PH-2** governance expansion (substantially delivered — ADRs/Invariants/traceability/reporting shipped; Webex/Tarseem/Knowledge remain), **PH-3** research & knowledge (not started). Details + gates: [planning/roadmap.md](planning/roadmap.md).",7,,
SEC-017,DOC-002,Top risks,"RTL effort underestimated (RISK-002), committee adoption (RISK-007), scope creep to generic PM (RISK-006), Tarseem early maturity (RISK-005), Webex Assistant enablement (RISK-008), AI-extraction privacy (RISK-012). Full register: [risks/risk-register.md](risks/risk-register.md).",8,,
SEC-018,DOC-002,What we are asking for,"Continued execution of the remaining PH-2 backlog and hardening **under this package's Keystone governance** — every change traced (requirement → decision → work → test → acceptance), every settled decision respected, every invariant enforced. Start point: [handoff/initial-prompt.md](handoff/initial-prompt.md).",9,,
SEC-019,DOC-003,Preamble,"# ACMP Architecture Decision Records

This folder contains the Architecture Decision Records (ADRs) for the Architecture Committee Management Platform (ACMP). All records use the **MADR** (Markdown Architectural Decision Records) format. See: https://adr.github.io/madr/

---",1,,
SEC-020,DOC-003,ADR Index,"| ID | Title | Status | Date |
|----|-------|--------|------|
| [ADR-0001](ADR-0001-modular-monolith.md) | Modular Monolith as Macro-Architecture | Accepted | 2026-06-24 |
| [ADR-0002](ADR-0002-dotnet-clean-architecture.md) | .NET 8 + ASP.NET Core + Clean Architecture + Vertical Slice + EF Core + REST | Accepted | 2026-06-24 |
| [ADR-0003](ADR-0003-sql-server-single-datastore.md) | Microsoft SQL Server as the Single Datastore | Accepted | 2026-06-24 |
| [ADR-0004](ADR-0004-keycloak-oidc-identity.md) | Keycloak (OIDC) as Identity Provider | Accepted | 2026-06-24 |
| [ADR-0005](ADR-0005-notification-channel-abstraction.md) | Notification Channel Abstraction (INotificationChannel) | Accepted | 2026-06-24 |
| [ADR-0006](ADR-0006-tarseem-render-sidecar.md) | Tarseem as Containerized Render Sidecar (JSON Spec = Source of Truth) | Accepted | 2026-06-24 |
| [ADR-0007](ADR-0007-keystone-optional-companion.md) | Keystone as Optional Companion (Not Embedded, Not a Hard Dependency) | Accepted | 2026-06-24 |
| [ADR-0008](ADR-0008-traceability-relationship-model.md) | Typed Directed Relationship Edges as the Traceability Model | Accepted | 2026-06-24 |
| [ADR-0009](ADR-0009-audit-immutability.md) | Append-Only Audit Log with Immutability and Hash-Chain Integrity | Accepted | 2026-06-24 |
| [ADR-0010](ADR-0010-voting-model.md) | Always-Attributed Voting Model | Accepted | 2026-06-24 |
| [ADR-0011](ADR-0011-search-sqlserver-fts.md) | SQL Server Full-Text Search in v1; Self-Hosted OpenSearch if Outgrown | Accepted | 2026-06-24 |
| [ADR-0012](ADR-0012-react-typescript-frontend.md) | React 18 + TypeScript + Vite Frontend | Accepted | 2026-06-24 |
| [ADR-0013](ADR-0013-self-contained-deployment.md) | Self-Contained On-Premises Deployment (CON-001) | Accepted | 2026-06-24 |
| [ADR-0014](ADR-0014-background-jobs-observability.md) | Background Jobs (Hangfire), Observability (Serilog + OpenTelemetry + Seq), Object Storage (MinIO) | Accepted | 2026-06-24 |
| [ADR-0015](ADR-0015-self-hosted-keycloak-all-dependencies-owned.md) | ACMP Self-Hosts Keycloak and Bundles All Runtime Dependencies | Accepted | 2026-06-25 |
| [ADR-0016](ADR-0016-test-coverage-basis-and-e2e.md) | Test Coverage Basis (≥95% lines, FE + BE), Exclusions, E2E Harness, and DB-Backstop Integration Tests | Accepted | 2026-06-29 |
| [ADR-0017](ADR-0017-react-19-amends-0012.md) | Adopt React 19 (amends ADR-0012) | Accepted | 2026-06-25 |
| [ADR-0018](ADR-0018-optimistic-concurrency-rowversion.md) | Optimistic Concurrency via RowVersion (implements docs/domain/data-architecture.md §1.5) | Accepted | 2026-06-30 |
| [ADR-0019](ADR-0019-amends-0008-self-describing-edges.md) | Self-Describing Relationship Edges, No Physical Artifact Registry (amends ADR-0008) | Accepted | 2026-07-03 |
| [ADR-0020](ADR-0020-impact-graph-read-time-composition.md) | Impact Graph by Read-Time Contract Composition, Not a Cross-Schema Traversal (clarifies ADR-0019) | Accepted | 2026-07-03 |
| [ADR-0021](ADR-0021-cross-module-write-seam.md) | Cross-Module System Writes Go Through a Shared.Contracts Write Port (extends ADR-0001) | Accepted | 2026-07-04 |
| [ADR-0022](ADR-0022-reporting-client-side-no-columnstore.md) | Reporting = Client-Side Aggregation over Thin Registers — No Columnstore Read-Model Layer, No Chart Library (extends ADR-0001/0003; resolves OQ-022) | Accepted | 2026-07-05 |
| [ADR-0023](adr-0023-webex-integration-webhook-and-multichannel-dispatch.md) | Webex Integration — Multi-Channel Dispatch, HMAC Webhook, and OAuth Token Storage | Accepted | 2026-07-07 |
| [ADR-0024](adr-0024-dedicated-background-worker-container.md) | Dedicated Background-Worker Container | Accepted | 2026-07-07 |
| [ADR-0025](adr-0025-meeting-recording-upload-storage.md) | Meeting-Recording Upload, Presigned Playback, and Deletion | Accepted | 2026-07-09 |
| [ADR-0026](adr-0026-amends-0009-audit-enrichment-and-atomicity.md) | Audit-Event Field Enrichment, Hash Versioning, and Same-Transaction Atomic Append (amends ADR-0009) | Accepted | 2026-07-11 |
| [ADR-0027](adr-0027-audit-read-rbac-sod5.md) | Audit-Read Excludes Administrator — Segregation of Duties (supersedes the role clause of FR-151/FR-153) | Accepted | 2026-07-11 |
| [ADR-0028](adr-0028-audit-append-serialization.md) | Serialize Audited Write-Commands via a Transaction-Scoped Application Lock (amends ADR-0026; resolves D-18) | Accepted | 2026-07-13 |

---",2,,
SEC-021,DOC-003,Format,"All ADRs in this repository use the **MADR** (Markdown Architectural Decision Records) template. Canonical template reference: https://adr.github.io/madr/

---",3,,
SEC-022,DOC-003,In-Repository ADR Process,"### Numbering

ADRs are numbered sequentially: `ADR-0001`, `ADR-0002`, etc. Numbers are never reused. When an ADR is superseded, the old number is retained and the old ADR's status field is updated to `Superseded by ADR-XXXX`. The superseding ADR gets the next available number.

### Lifecycle

```
Draft → Proposed → Accepted → Superseded | Deprecated
```

| Status | Meaning |
|--------|---------|
| Draft | Being written; not yet reviewed. |
| Proposed | Complete; under review by the Architecture Committee. |
| Accepted | Approved by the Architecture Committee; binding on the project. |
| Superseded | Replaced by a later ADR (referenced in status field); original preserved. |
| Obsolete | No longer applicable but not replaced (context has changed); preserved for historical record. |

**Superseded ADRs are never edited.** The status field is updated to `Superseded by ADR-XXXX` and the body is left intact. All context, trade-offs, and rejected alternatives from the original remain readable.

### Proposing a New ADR

1. Create a new file: `ADR-NNNN-short-title.md` using the next available number.
2. Copy the blank MADR template below.
3. Set status to `Draft` and complete all sections.
4. Set status to `Proposed` and submit for Architecture Committee review.
5. On approval, the secretary updates status to `Accepted` and records the decision date.

---",4,,
SEC-023,DOC-003,Blank MADR Template,"```markdown
# adr-NNNN: <Title>

- Status: Draft | Proposed | Accepted | Superseded by ADR-XXXX | Deprecated
- Date: YYYY-MM-DD
- Deciders: <names or ""Architecture Committee"">",5,,
SEC-024,DOC-003,Context and Problem Statement,<Describe the context and problem this decision addresses. What is the question being decided?>,6,,
SEC-025,DOC-003,Decision Drivers,"- <Driver 1 — constraint, requirement, principle>
- <Driver 2>",7,,
SEC-026,DOC-003,Considered Options,"1. **<Option A>** — <brief description>
2. **<Option B>** — <brief description>
3. **<Option C>** — <brief description>",8,,
SEC-027,DOC-003,Decision Outcome,"Chosen option: ""<Option X>"", because <justification tied to decision drivers>.

### Consequences

- Good: <positive outcome>
- Good: <positive outcome>
- Bad / trade-off: <negative or trade-off>
- Bad / trade-off: <negative or trade-off>",9,,
SEC-028,DOC-003,Validation,"<How will you verify this decision is working as intended? Tests, metrics, review gates.>",10,,
SEC-029,DOC-003,Links / Notes,"- <Related ADR or document>
- <External reference URL>
```",11,,
SEC-030,DOC-004,Preamble,"---
status: Approved
version: 1.0.0
updated: 2026-07-06
owner: lead-secretary
---

# Architecture — ACMP",1,,
SEC-031,DOC-004,Overview,"ACMP is the single, auditable, bilingual (EN/AR) system of record for one Architecture Committee: intake → backlog → agenda → meeting → minutes → vote → decision → ADR → action → risk → dependency → traceability. It is **architecture governance, not generic project management**, serving a single committee, on-prem, at low traffic (≤20 users, ~15 concurrent).

The macro-architecture is a **modular monolith** (ADR-0001): one deployable ASP.NET Core 8 application, internally partitioned into bounded-context modules with enforced isolation — no module reads another module's tables; modules collaborate only through in-process public contracts, MediatR messages, or domain events. This was chosen over microservices (which would demand a broker, service discovery, and Kubernetes that the deployment constraint forbids, and would turn single-transaction vote/decision/audit immutability and in-SQL traceability traversal into a distributed-systems problem) and over a plain layered monolith (which, with 16 modules and rich cross-entity links, predictably decays into tangled cross-table reads). The modular monolith keeps the operational simplicity the constraints demand and the boundary discipline the domain demands, with isolation enforced at build time (ArchUnit/NDepend, NFR-047) and by schema-per-module DbContexts. Backend stack, storage, and identity are settled in ADR-0002, ADR-0003, and ADR-0004/ADR-0015; the frontend in ADR-0012.

Everything runs on one VM via Docker Compose, with a warm-standby VM for backup/restore. Per ADR-0015 all runtime dependencies are bundled and app-owned, so v1 has **zero external runtime services** (CON-001); the only external integration is Webex, deferred to Phase 2 behind an adapter.

Container topology (C4 Level 2):

```
                        ┌──────────────────────────┐
    Committee user      │  Keycloak (OIDC IdP)      │
    (browser)           │  self-hosted, bundled     │
        │               │  ADR-0015 — realm: acmp   │
        │ HTTPS         └────────────▲──────────────┘
        │                            │ OIDC auth-code + PKCE
        │                            │ validate JWT / JWKS
┌───────▼────────────────────────────┼─────────────────────────────────┐
│  PRIMARY VM — Docker Compose network (internal, TLS ≥1.2)             │
│                                     │                                  │
│   ┌──────────────┐   /api    ┌──────┴───────────────────────────┐     │
│   │ nginx        │──────────▶│ ACMP API — ASP.NET Core 8         │     │
│   │ TLS term.    │           │ modular monolith (16 modules)     │     │
│   │ serves SPA   │           │ + Hangfire in-process (jobs)      │     │
│   │ React 18/Vite│           │ + Serilog / OpenTelemetry         │     │
│   └──────────────┘           └───┬─────────┬──────────┬─────┬────┘     │
│                                  │ EF Core  │ Serilog  │ IFileStore    │
│                                  │ (TLS)    │ + OTLP   │ pre-signed    │
│                                  ▼          ▼          ▼     │ (PH-2)   │
│                          ┌──────────┐ ┌────────┐ ┌────────┐  │ internal │
│                          │ SQL      │ │ Seq    │ │ MinIO  │  │ HTTP     │
│                          │ Server   │ │ logs + │ │ S3-obj │  ▼          │
│                          │ schema-  │ │ traces │ │ store  │ ┌─────────┐ │
│                          │ per-mod  │ └────────┘ └────────┘ │ Tarseem │ │
│                          │ +outbox  │                       │ sidecar │ │
│                          │ +Hangfire│                       │ (PH-2)  │ │
│                          └────┬─────┘                       └─────────┘ │
└───────────────────────────────┼───────────────────────────────────────┘
                                 │ nightly SQL + MinIO backup
                        ┌────────▼─────────────────┐
                        │  STANDBY / BACKUP VM      │
                        │  warm; DR restore target  │
                        │  RTO ≤8h · RPO ≤4h        │
                        └───────────────────────────┘
```

Solid dependencies are v1 runtime. The Tarseem diagram sidecar (ADR-0006) is Phase 2 and always behind the `IDiagramRenderer` seam; Webex, SMTP, and Keystone are deferred/optional and never hard-wired.",2,,
SEC-032,DOC-004,Components,"The 16 canonical modules (bounded contexts). Each core-domain module owns one SQL schema and its own EF migrations; cross-module effects flow only through contracts, MediatR, and domain events.

| Component | Responsibility | Key controls |
|---|---|---|
| **Membership** | Users, committee, roles, permissions, streams, governed systems/services. | Roles sourced from Keycloak claims (ADR-0004); no self-registration; schema `membership`. |
| **Topics** | Central backlog anchor; topic intake, status lifecycle, stream assignment, DnD prioritization. | Explicit domain state machine; all other modules reference topics by id only; schema `topics`. |
| **Meetings** | Meeting, agenda, attendance, recording/transcript refs, discussion, Minutes of Meeting. | Agenda time-boxing; MoM version-preserving supersede; schema `meetings`. |
| **Decisions** | Committee `Decision` + `Vote`; outcomes, conditions, chair approval/override. | Votes + issued decisions immutable (ADR-0009); voting always attributed (ADR-0010); schema `decisions`. |
| **Actions** | Follow-up actions from decisions/meetings; progress, escalation, verification. | SoD-1 self-verification rejected; Hangfire reminders/overdue; schema `actions`. |
| **Risks** | Architecture risks with likelihood/impact and mitigations. | Linked-topic scope; append-only audit on every transition; schema `risks`. |
| **Dependencies** | Typed, status-bearing dependency edges between governed items. | Cross-aggregate reference by id only; schema `dependencies`. |
| **Governance** | Architecture Decision Records (in-app ADRs) and Architecture Invariants. | ADR immutable once Approved; Invariant immutable once Active (ADR-0009); filtered-unique one-ADR-per-decision; schema `governance`. |
| **Research** | Research missions, findings, recommendations. | Works standalone; optional Keystone import is additive (ADR-0007); schema `research`. |
| **Knowledge** | Living documentation, templates, shared comments. | TipTap OSS editor embedded; SQL FTS; bilingual pages; schema `knowledge`. |
| **Diagrams** | Diagram entities storing the version-controlled Tarseem JSON spec + artifact refs. | JSON spec is source of truth; render deferred to Phase 2 (ADR-0006); schema `diagrams`. |
| **Notifications** (cross-cutting) | In-app notification center; channel abstraction. | `INotificationChannel`; in-app only in v1 (ADR-0005); durable via SQL outbox; schema `notifications`. |
| **Reporting** (cross-cutting) | Dashboards and reports read models. | Read-only projections; columnstore for aggregation; no separate analytics DB (ADR-0003); schema `reporting`. |
| **Search & Traceability** (cross-cutting) | Typed directed `Relationship` edges + SQL Full-Text Search. | In-process graph traversal (ADR-0008); SQL FTS (ADR-0011); schema `trace`. |
| **Audit & Records** (cross-cutting) | Append-only `AuditEvent` log. | No UPDATE/DELETE path (NFR-040); audit row written in the same transaction as each state change (NFR-042); schema `audit`. |
| **Platform (Shared Kernel)** | IDs, `LocalizedString`, base entities, `IClock`, `ICurrentUser`, `IFileStore`, job infra, `Attachment`. | The only module every other may depend on (downward only); schema `platform`. |",3,,
SEC-033,DOC-004,Contracts (seams),"**The dependency rule (enforced).** A module may not read another module's tables. Modules communicate only via in-process **public contracts** (interfaces / MediatR commands and queries) or **domain events**; cross-aggregate references are **by id only**, never EF navigation across a boundary. Polymorphic hosts (`Comment`, `Attachment`, `Relationship`, `AuditEvent`) use a soft `(SubjectType, SubjectId)` reference so they create no FK coupling. The only legal compile-time dependency direction into another module is **downward into the Shared Kernel**. Enforcement is mechanical, not cultural: a cross-module internal reference is a build failure (ArchUnit/NDepend, NFR-047), and a schema-per-module DbContext cannot map another schema's tables.

Named seams (public contracts across module or integration boundaries):

| Seam | Purpose | Notes |
|---|---|---|
| `ITraceabilityLinks` | Read typed relationship edges for graph traversal and impact analysis. | Read side of ADR-0008 / ADR-0020. |
| `ITraceabilityWriter` | Write a typed edge (e.g. Decision→ADR `RecordedAs`) from another module. | First cross-module write seam (ADR-0021). |
| `IActionLinkDirectory` | Resolve whether a decision has the required action link (AC-029 gate). | Gate lives in the handler, not the domain (ADR — P8d). |
| `IDecisionReader` | Read a `Decision` (outcome, rationale, statement) from Governance. | Feeds Decision→ADR promotion, FR-068 (ADR-0021). |
| `IFileStore` | Blob put/get and pre-signed time-limited URLs. | MinIO impl (ADR-0003); pre-signed ≤1h for sensitive media (NFR-027). |
| `INotificationChannel` | Send a notification via a channel. | In-app only in v1; Webex Phase 2 (ADR-0005); dispatched via SQL outbox. |
| `IDiagramRenderer` | Render a Tarseem JSON spec to artifacts. | Phase 2 Tarseem sidecar/CLI (ADR-0006); no-op before. |

Every command/query also flows through an ordered MediatR pipeline — Logging → Authorization (policy + ABAC) → Validation (FluentValidation) → Transaction/UoW → Audit → Outbox — so cross-cutting concerns are uniform and no handler is reachable unchecked.",4,,
SEC-034,DOC-004,Data & deployment,"- **Single datastore: Microsoft SQL Server only** (ADR-0003). Transactional store (schema-per-module), reporting via **columnstore** read models, and **SQL Full-Text Search** (ADR-0011) all live in one app-owned SQL Server instance. No second datastore, no distributed DB in v1. Persistence is **EF Core** with forward-only migrations run at container startup, in dependency order (Shared Kernel → platform → domain modules → Audit).
- **Object storage:** self-hosted MinIO behind `IFileStore` (bytes in MinIO, metadata in SQL); pre-signed URLs for sensitive files.
- **Deployment:** on-prem VM(s) + Docker Compose — no Kubernetes, no service mesh, no message broker. Self-contained (CON-001): SQL Server, Seq, MinIO, and Keycloak are bundled and app-owned; 99.9% availability is met by warm standby + nightly backups + fast container restart, not clustering.

Deep views: [data architecture](../domain/data-architecture.md) · [integration architecture](../domain/integration-architecture.md) · [deployment](../domain/deployment.md).",5,,
SEC-035,DOC-004,Runtime status models,"Runtime keys and status models follow the canonical scheme; a *proposed* item is never rendered as *approved*. Brief summary (full transitions, guards, and events in [entity lifecycles](../domain/entity-lifecycles.md)):

- **Topic:** `Draft → Submitted → Triage → Accepted → Prepared → Scheduled → InCommittee → Decided → Closed`, with side states `Rejected, Deferred, Reopened, Converted`.
- **Decision (committee outcome):** lifecycle `Draft → Issued → Superseded`; **outcome** is a separate closed enum (`Approved, ConditionallyApproved, Rejected, MoreInfoRequired, FeedbackProvided, EnhancementsRequired, DesignChangesRequired, ResearchRequired, Deferred, Escalated, Converted`). Immutable once `Issued` (ADR-0009).
- **Vote:** `Configured → Open → Closed → Ratified`; ballots append-only and always attributed; tally frozen at close (ADR-0010).
- **Action:** `Open → InProgress → Blocked → Completed → Verified`, side `Cancelled`, derived `Overdue`; SoD-1 blocks self-verification.
- **ADR (in-app):** `Draft → Proposed → Approved → (Superseded | Deprecated)`; immutable once `Approved`.
- **Architecture Invariant:** `Draft → Proposed → Active → (Retired | Superseded)`; `Active` statement immutable — material change = supersede. Violations tracked separately as Risk/Action/AuditEvent.
- **Risk:** `Open → Mitigating → Closed`, side `Accepted, Escalated`.",6,,
SEC-036,DOC-004,Open architectural points,Unresolved architecture questions and rejected alternatives are tracked as first-class items in the [open-question register](../decisions/open-question-register.md).,7,,
SEC-037,DOC-004,Diagrams,"Architecture diagrams (system context, container, component/module, core-loop sequence) are authored as diagram-as-code and, from Phase 2, rendered by the Tarseem sidecar from a version-controlled JSON spec (ADR-0006). See [diagrams/](diagrams/).",8,,
SEC-038,DOC-005,Preamble,"---
status: Approved
version: 1.0.0
updated: 2026-07-06
owner: lead-secretary
---

# Diagrams — ACMP

ACMP diagrams are authored as **diagram-as-code inside [`../architecture.md`](../architecture.md)** — the container topology and module relationships live there as version-controlled text, so they diff, review, and evolve alongside the architecture prose. From **Phase 2**, the same diagrams are additionally maintained as a version-controlled Tarseem JSON spec (the source of truth) and rendered to SVG/PNG/PDF artifacts by the **Tarseem render sidecar** (ADR-0006); render is deterministic and needs no network. The diagram families the architecture uses are: **context** (C4 Level 1 system context), **component** (C4 Level 2 container and Level 3 module maps), **data-flow** (core-loop runtime sequence), **integration** (external adapters — Keycloak, Webex, Tarseem, Keystone), **deployment** (Compose topology + warm standby), and **dependency** (module dependency graph and traceability edges).",1,,
SEC-039,DOC-006,Preamble,"---
status: Approved
version: 1.0.0
updated: 2026-07-06
owner: lead-secretary
---

# Technology Comparison — ACMP

This document summarizes the build-vs-buy-vs-integrate verdicts for ACMP as weighted-criteria comparisons. Options are scored **1–5** (5 = best fit) per criterion; **Weighted score** = Σ(weight × score), out of 5. Weights reflect ACMP's binding constraints: on-prem + government sensitivity, EN/AR RTL first-class, SQL Server mandate, self-contained (CON-001), and right-sizing for ≤20 users. Rejected options are retained with their reason. Each verdict cites its governing ADR. Capability claims that could not be verified against a primary source are marked `unverified`.

---",1,,
