id,decision_ref,description,iteration,lifecycle_status,custom_attributes,last_referenced
SC-011,DEC-046,"WIDEN ADR-0038's IIdentityProvider PORT WITH A FIFTH, READ-ONLY OPERATION (ListUsersAsync), SO THE DEC-046 RECONCILIATION CAN SEE THE ACCOUNTS IT MUST RECONCILE. Recorded BEFORE the interface change exists in code, per the standing obligation. WHAT THE APPROVED DESIGN SAYS: ADR-0038 gives Membership a deliberately narrow port onto Keycloak, and the interface's own header states the narrowness is the control - 'four operations, no general-purpose call-Keycloak escape hatch, so the blast radius of the service-account credential is bounded by this interface rather than by whatever a caller invents'. The four are CreateUserAsync, SetRealmRolesAsync, SignOutEverywhereAsync and DisableUserAsync, and every one of them is a WRITE. WHY A FIFTH IS UNAVOIDABLE HERE: DEC-046 d2 chose to reconcile Keycloak accounts into committee_members ahead of the stream-scope deploy, and its own consequence note names this seam - 'this needs a path that reads the identity provider and creates the member rows, which is the same seam ADR-0038's IIdentityProvider already owns'. A reconciliation cannot be a migration (a migration cannot see Keycloak, DEF-065) and cannot be driven from the existing four operations, none of which can enumerate anything. Listing the realm's users is the one capability the port lacks and the feature requires. WHY THIS IS DEFENSIBLE RATHER THAN A DRIFT: the operation is a READ, and a read cannot mutate the identity provider - so the blast-radius argument the narrowness protects is not weakened in the direction it was written to protect. It stays on the SAME port, in the SAME module, behind the SAME service-account credential and the SAME ADR-0038 governance; it does not become a general-purpose passthrough, and no caller outside Membership gains a Keycloak dependency (ADR-0001 holds). WHAT CHANGES: IIdentityProvider gains ListUsersAsync; KeycloakAdminClient implements it against GET /admin/realms/{realm}/users plus the realm role-mappings read it already performs; both files' 'four operations' header comments are corrected in the same commit, or they become false. WHAT DOES NOT CHANGE: no requirement, acceptance criterion, invariant or constraint text; ADR-0038's decision to keep Keycloak the source of truth for identity and to expose no escape hatch is unchanged; the port remains write-through plus, now, a bounded read. THE GRANT CONSEQUENCE, RECORDED SO IT IS NOT DISCOVERED IN PRODUCTION: the service account's realm-management grant is exactly {manage-users}, PROVEN minimal on UAT for the eight calls the adapter makes today (OQ-070, deploy/keycloak/admin-client.env). A ninth call - listing users - is NOT covered by that proof. It is to be PROVEN by re-running scripts/probe-keycloak-grant.mjs with the new call, never assumed from documentation, and if the grant must widen, admin-client.env is the one place it changes and scripts/check-realm-export.mjs is what holds the deployed realm to it.",1,Merged,"{""recorded"": ""2026-08-14, before any change to IIdentityProvider was written"", ""authorised_by"": ""DEC-046 d2 - the operator chose reconciliation over ADR-0043 clause (2)'s roster backstop, and d2's own consequence note names IIdentityProvider as the seam"", ""widens"": ""ADR-0038's IIdentityProvider from four WRITE operations to four writes plus one bounded READ"", ""does_not_change"": ""no requirement, AC, invariant or constraint text; no general-purpose passthrough; no module outside Membership acquires a Keycloak dependency (ADR-0001)"", ""carries"": ""the {manage-users} grant proof (OQ-070) does NOT cover a list-users call - it must be re-probed against a real Keycloak, and a refusal is a signal to read it, not to widen to realm-admin"", ""related"": ""DEC-046, DEF-065, DEF-071, DEF-038, ADR-0038, ADR-0043, OQ-070, ADR-0001""}",2026-08-14T17:00:42Z
SC-012,DEC-052,"MERGED 2026-08-15. ASSIGN THE GUEST REALM ROLE ON THE FR-159 INVITE PATH ONLY, making the two invite paths deliberately asymmetric. Recorded BEFORE the change was written, and applied in PR #280 (fc824a5). BEFORE: both FR-156's InviteUser and FR-159's GuestProvisioner ran one shared body, MemberInvitation.InviteAsync, which called identity.CreateUserAsync and never assigned a realm role - so every invited account, guest or not, existed in Keycloak with no role. For FR-156 that is DELIBERATE: an invited member is inert until an administrator assigns a role through AssignRoles, which is ADR-0038's two-step flow. For FR-159 it was a defect (DEF-076): the guest presenter's token then satisfied nothing, GetMySessionQuery refused them from their own session, and GuestSurfaceMiddleware did not even classify them as a guest, because IsGuestOnly reads the token. AFTER: the guest path passes Guest so the Secretary's single action from the meeting screen produces a usable presenter, per DEC-037; the FR-156 path is UNCHANGED and keeps creating an inert account. The grant runs BEFORE the local member row, because the order is the safety property - after the insert, a failure leaves exactly DEF-076, while before it a failure leaves a Keycloak account with no member row, which JIT provisioning already handles on first login. WHY THIS WAS A SCOPE CHANGE AND NOT MERELY A BUG FIX: it makes two paths that deliberately shared one body behave differently, and it moves a role assignment from an administrator's explicit decision into an automatic consequence of a Secretary's invite. ADR-0040 already grants the Secretary that authority in substance, so this implements the ADR rather than extending it; the row exists so the asymmetry is a decision on the record rather than an artefact somebody later tidies up by re-merging the two paths - which would either restore DEF-076 or strip FR-156's inert-invite property, depending on which way it merged. VERIFIED LIVE by the AC-011 e2e leg (CI run 31895092054, merged 1598ac0): the guest now reaches their own session. Both directions of the asymmetry are guarded by tests, so a re-merge fails loudly. The full original pre-change description is preserved verbatim at scratchpad/def-title-snapshots/SC-012-description.txt; this text was condensed and updated at merge rather than re-transcribed.",1,Merged,"{""recorded"": ""2026-08-15, before any change to the invite path was written"", ""merged"": ""2026-08-15, applied in PR #280 (fc824a5) and verified live by the AC-011 leg (CI run 31895092054)"", ""decided_by"": ""DEC-052 d1 - guest path only, over assigning for every invite and over adding a separate guest assignment step"", ""affects"": ""MemberInvitation.InviteAsync / GuestProvisioner (FR-159); FR-156's InviteUser is explicitly NOT affected"", ""do_not_undo"": ""re-merging the two invite paths into one uniform behaviour would silently reintroduce DEF-076 or drop FR-156's inert-invite property, depending on which way it was merged - both directions are guarded by GuestPresenterRealmRoleTests"", ""description_condensed"": ""2026-08-15 at merge; full original at scratchpad/def-title-snapshots/SC-012-description.txt"", ""related"": ""DEF-076, FR-159, FR-156, ADR-0040, ADR-0038, DEC-037, DEC-052, AC-011, AC-092""}",2026-08-15T16:32:38Z
SC-013,DEC-053,"Bind every acceptance criterion to a slice (DEC-053 d1 + d2). ADDS one slice, SL-028, for the ADR-0038 in-app user management and ADR-0040 guest-presenter streams — work delivered after SL-027 that the roadmap never classified, evidenced by FR-156 carrying no implements edge at all. MODIFIES the six Proposed ACs AC-088 to AC-093 by binding them to it (free: the immutability trigger does not fire on Proposed). MODIFIES the fourteen Approved unbound ACs by SUPERSEDING each and binding the successor, because slice_id is frozen on an Approved row and there is no update path. ⚠ THE COST WAS PRICED BEFORE APPROVAL, NOT DISCOVERED AFTER: each supersession mints a new active AC with no verdict history against a BLOCKING acs-met rule, so every successor carries its predecessor's latest verdict re-asserted with explicit provenance — legitimate only because the content is identical apart from slice_id, and verified programmatically row by row after the write. ⚠ SL-028's phase assignment satisfies the NOT-NULL phase foreign key and does not assert that identity work belongs to cloud hosting — the DEC-029 / SC-001 precedent.",1,Merged,"{""adds"": ""SL-028"", ""modifies_free"": ""AC-088, AC-089, AC-090, AC-091, AC-092, AC-093 (Proposed - direct bind)"", ""modifies_by_supersession"": ""AC-017, AC-018, AC-019, AC-020, AC-039, AC-040, AC-041, AC-042, AC-046, AC-047, AC-049, AC-050, AC-056 (AC-048 is handled by SC-014 because it also narrows content)"", ""verification"": ""successor content compared field-by-field against the predecessor after the write; only slice_id may differ""}",
SC-014,DEC-051,"Narrow AC-048 from the browser's RENDERING of the unsaved-changes dialog to the application's MECHANISM, and bind the successor to SL-005 in the same supersession (DEC-051 d1, binding target per DEC-053 d3). WHY IT CANNOT BE MET AS WRITTEN: AV-157 records the Partial as FINAL by operator decision PE-286 — the AC asks that the browser's built-in beforeunload dialog is TRIGGERED, and no automation available here can prove a browser showed a human a dialog, because Playwright auto-dismisses native beforeunload dialogs and Chrome suppresses them without a prior user gesture. WHAT IS PROVABLE AND ALREADY PROVEN: SubmitTopic.tsx registers a beforeunload handler while dirtyRef is set and removes it when clean, and SubmitTopic.test.tsx dispatches a CANCELABLE beforeunload Event and asserts defaultPrevented === true. Calling preventDefault is the ONLY thing a page can do to request the dialog, so the mechanism is the application's entire possible contribution. ⚠ ONE SUPERSESSION, NOT TWO: the narrowing and the slice binding are applied together, because doing them separately would mint the successor id twice. ⚠ SL-005 IS A JUDGEMENT, NOT A DERIVATION, and is recorded as such: FR-015 is implemented by WBS-1, which is 'Platform Foundation' with slice_id NULL, so the lineage stops before a slice; SL-005 (P5 — Topics & backlog) is chosen because SubmitTopic.tsx and its proof actually live on that surface. ⚠ REJECTED at DEC-051: a WVR- waiver on acs-met for AC-048 alone (honest and cheaper, but leaves a permanently unmeetable AC on the books), and leaving it Partial with acs-met red.",1,Merged,"{""modifies"": ""AC-048 -> superseded by AC-094"", ""authorised_by"": ""DEC-051 d1 (the narrowing) and DEC-053 d3 (the SL-005 binding target)"", ""evidence_for_the_successor"": ""src/Acmp.Web/src/features/topics/SubmitTopic.test.tsx - dispatches a cancelable beforeunload Event and asserts defaultPrevented === true""}",
SC-015,DEC-054,"Narrow AC-101 to the RTL mechanism the pipeline actually runs, and carry the SL-003 binding onto the successor in the SAME supersession (DEC-054 d1). WHY IT CANNOT BE MET AS WRITTEN, and the second reason is the decisive one. FIRST: the AC names three artifacts — left-anchored text blocks, misaligned icons, cropped RTL text — and the property-level detector shipped in PR #283 covers the first two at the level where they are WRITTEN, while 'cropped RTL text' is a rendering OUTCOME that JSDOM cannot see. SECOND, and it is why narrowing rather than measuring more is right: DEF-077 established that the AC's own named instrument, e2e/vr-sweep.spec.ts, is EXCLUDED FROM THE REPOSITORY by src/Acmp.Web/.gitignore under an explicit decision in PR #57 ('kept local so they never commit or run in CI'). So the AC's 'when a visual regression test captures every page' clause has never had an instrument in the pipeline, and no verdict against the AC as written could ever be honest. The successor asserts what CI genuinely enforces: no physical left/right direction encoded in the stylesheets, and the RTL surfaces passing on both Chrome and Edge. ⚠ ONE SUPERSESSION, NOT TWO — the narrowing and the binding move together, or the successor id is minted twice. ⚠ REJECTED at DEC-054 d1: recording Met on the chosen instrument (claims three clauses on coverage of two — the AC-006 failure), building a committed CI-safe assertion sweep (most faithful to the AC as written, and the most work), and leaving it Partial (honest, but the package cannot close).",1,Merged,"{""modifies"": ""AC-101 -> superseded by AC-108"", ""authorised_by"": ""DEC-054 d1"", ""evidence_for_the_successor"": ""src/Acmp.Web/src/test/rtl-physical-direction.test.ts (mutation-proven) + the msedge project in playwright.config.ts running the RTL surfaces"", ""why_not_measure_more"": ""DEF-077 - the AC's named capture instrument is gitignored and has never run in CI""}",
SC-016,DEC-057,"ADDS three requirements and four acceptance criteria to carry DEC-057 d1+d2. WHY A SCOPE CHANGE IS NEEDED AT ALL, established by an FR-coverage check over all 222 requirements rather than assumed: of the four capabilities the operator approved building, exactly ONE is already in the plan. Topic Reopen implements FR-045 (Approved, priority S, 'Secretary shall be able to Reopen a Closed or Rejected topic with a recorded reason; reopened topics re-enter the triage workflow'), already traced WBS-5.7 --implements--> and TEST-018 --tests-->; building it is execution of approved work and adds nothing. The other three have NO requirement behind them: nothing in the register covers closing a topic (FR-045 merely PRESUPPOSES a Closed state by naming it), nothing covers returning a Deferred topic to triage (a search for revisit/reactivate/return-to-backlog over every requirement returned zero rows), and FR-020 is deactivate-ONLY - its statement ends 'so that a departing team member can no longer log in', with no re-admission clause. Hence FR-160, FR-161 and FR-162. ALSO ADDS FOUR ACs, and the fourth is the one worth explaining: AC-109/110/111 verify the three new requirements, and AC-112 is written against the EXISTING FR-045, which has no acceptance criterion at all. Per DW-029 a requirement advances to Implemented ONLY through the AC auto-advance trigger, so FR-045 could be built perfectly and would still sit at Approved forever - writing its AC now is what stops this work adding a fourth row to that 162-requirement gap. NOT IN THIS CHANGE: FR-030 (conversion) is deferred by DW-030, not retired and not built; DEF-084 is left untouched.",1,Merged,"{""adds"": ""FR-160, FR-161, FR-162, AC-109, AC-110, AC-111, AC-112"", ""authorised_by"": ""DEC-057 d1 + d2"", ""already_in_plan"": ""Topic Reopen implements FR-045 - approved, traced to WBS-5.7 and TEST-018, never built"", ""coverage_method"": ""regex sweep over title/statement/rationale of all 222 requirement rows for reactivate|re-enable|disable, close/terminal/archive, reopen, defer/revisit - FR-020, FR-029, FR-044, FR-045, FR-030 reviewed in full text"", ""acs_unbound_to_a_slice"": ""AC-109..AC-112 carry slice_id null - the P1-P19 ladder is complete and no active slice exists, so the acs-slice-bound ADVISORY will list them; creating a slice for this work is a plan-structure decision left to the operator rather than assumed"", ""merged_immediately"": ""following the SC-015 precedent - the DEC- carries the operator's approval and the delta rows are applied in the same transaction""}",2026-08-17T19:10:32Z
SC-017,DEC-057,"WIDENS IIdentityProvider WITH A FIFTH WRITE — EnableUserAsync — AND IS WRITTEN BEFORE THE CODE, WHICH IS THE WHOLE POINT OF THE ROW. The port's own contract demands this: 'FOUR WRITES PLUS ONE BOUNDED READ, no general-purpose call-Keycloak escape hatch, so the blast radius of the service-account credential is bounded by this interface rather than by whatever a caller invents ... A fifth WRITE would need its own decision.' The precedent it names is SC-011, the read widening, which was likewise RECORDED BEFORE IT WAS WRITTEN. WHY THE FIFTH WRITE IS UNAVOIDABLE FOR AC-111, established by reading the sweep rather than assuming: ExpireGuestAccess.cs:80 calls identity.DisableUserAsync(member.KeycloakUserId) on every guest whose window closes, so the sweep kills the KEYCLOAK ACCOUNT and not merely the local row. AC-111's second clause requires a reactivated guest to ACTUALLY SIGN IN, and no combination of the four existing writes can re-enable a disabled account — CreateUserAsync refuses a duplicate, SetRealmRolesAsync and SignOutEverywhereAsync do not touch the enabled flag, and DisableUserAsync is the wrong direction. Without this widening a reactivated guest returns Active-but-unable-to-log-in, which is exactly the 'reads as repaired and is not' state AC-111 was written to refuse. ⚠ NOTE THE ASYMMETRY THAT MAKES THIS EASY TO GET HALF-RIGHT: the ADMIN path (DeactivateMember.cs:42) never touches Keycloak, so an admin-deactivated member reactivates correctly with a local flip alone. Only SWEEP-disabled guests need the fifth write — and the sweep is the recurring, automatic case, so the half that looks optional is the half that actually bites. WHY THE BLAST-RADIUS ARGUMENT SURVIVES: enable is the exact inverse of DisableUserAsync, a write the port already grants, so the service account acquires no capability class it did not already hold — unlike, say, a delete or a password write. This is a narrower widening than SC-011's read, which added a capability (enumeration) the port genuinely lacked. ⚠ DI SHAPE IS PART OF THIS CHANGE, NOT AN IMPLEMENTATION DETAIL: ReactivateMember must inject IEnumerable<IIdentityProvider> exactly as ExpireGuestAccess does, because IIdentityProvider is registered ONLY when KeycloakAdmin is configured (ADR-0038). Demanding the bare interface would make the handler uninjectable — and therefore the API unbootable — in every environment where in-app user management is off, which is currently all of them except where DEC-042 turned it on. ✅ APPLIED 2026-08-17 on branch feat/sc016-lifecycle-exits: EnableUserAsync added to the port with the SC-017 rationale inline, implemented in KeycloakAdminClient as the exact inverse PUT (enabled = true), and implemented in FakeIdentityProvider with its own Enabled bag rather than by removing from Disabled — so a test asserts the enable POSITIVELY instead of inferring it from an absence. ReactivateMemberHandler injects IEnumerable<IIdentityProvider> as required and calls Keycloak BEFORE SaveChangesAsync, which is the opposite order to the sweep and deliberately so: when GRANTING access, a remote failure must leave the member consistently disabled rather than Active-with-a-dead-login.",1,Merged,"{""modifies"": ""IIdentityProvider (Membership.Application/Abstractions) - adds EnableUserAsync as a fifth write"", ""also_touches"": ""KeycloakAdminClient (the real adapter) and FakeIdentityProvider (the API test double) - a port widening that the double does not implement fails the build, so both land together"", ""authorised_by"": ""operator, 2026-08-17, chose 'Add EnableUserAsync, recorded as a scope change' over local-only reactivation and over pausing the member half"", ""precedent"": ""SC-011 - the read widening, recorded before it was written, on the same port and for the same reason"", ""why_needed"": ""ExpireGuestAccess.cs:80 disables the Keycloak account; AC-111 clause 2 requires a real sign-in after reactivation, which no existing write can restore"", ""di_constraint"": ""IEnumerable<IIdentityProvider>, never the bare interface - registered only when KeycloakAdmin is configured"", ""applied"": ""2026-08-17, branch feat/sc016-lifecycle-exits"", ""call_order"": ""Keycloak enable BEFORE SaveChangesAsync - the inverse of the sweep, because fail-closed points the other way when granting access"", ""test_evidence"": ""ReactivateMemberTests.Reactivation_re_enables_the_keycloak_account_the_sweep_disabled asserts EnableUserAsync was CALLED, not inferred""}",2026-08-17T19:10:32Z
SC-018,DEC-060,"PULLS FR-030 (topic type conversion) FROM PHASE-2/mvp=0 INTO v1 SCOPE, so that DW-030 can be executed as SL-029. WHY A SCOPE CHANGE IS NEEDED: FR-030 is Approved, priority S, sourced README §E / brief §6.2, and already traced WBS-5.7 --implements--> and TEST-018 --tests-->. It is not new work being invented - it is approved work that the original scoping placed outside v1 (custom_attributes v1.Phase = '2', mvp = 0). Building it now moves the v1 boundary, and moving a boundary is a scope change even when the requirement behind it was approved years earlier. DELTA: FR-030.mvp 0 -> 1. Its lifecycle_status stays Approved and advances to Implemented only through the AC auto-advance trigger, once AC-113 carries a Met verdict. WHAT IS NOT INCLUDED: Topic.Reclassify. The operator's 2026-08-18 decision scoped FR-030 to the Convert direction (a NEW topic of the target type, the original retired to Converted, the reason recorded, a typed original->converted edge). Reclassify's guard is pre-Accept and DISJOINT from Convert's Decided-only guard, so no topic can ever be a candidate for both; it is carried forward as DW-032 so its reachability-allowlist entry keeps pointing at a live row.",1,Merged,"{""approved_by"": ""Operator, 2026-08-18, in a dedicated interview after plan revision 2 - plan approval was explicitly NOT treated as scope-change approval (LL-002)."", ""delta_applied"": ""FR-030.mvp 0 -> 1"", ""ac_owed"": ""AC-113, bound to SL-029, with a Pending verdict recorded in the same session it is created (trap 16 - an active AC with no verdict at all turns G-PROGRESS red).""}",2026-08-18T15:07:33Z
SC-019,DEC-060,"ADDS FR-163 (Restricted topics / Confidentiality ABAC) TO THE REQUIREMENT REGISTER, AND RECORDS THE ITopicCapabilityResolver PORT WIDENING THAT ENFORCING IT REQUIRES. WHY THE REQUIREMENT MUST BE ADDED RATHER THAN REUSED, established by an LL-005 register sweep rather than assumed: a search of all 225 requirements for confidential|restricted|sensitiv|classification|need-to-know|redact returned NOTHING covering topic confidentiality. FR-040 restricts EDITING in late statuses; FR-059 and NFR-027 govern transcripts and recordings. So C-AUTHZ-04 - specified in full in SEC-304, marked P1 there, mitigating T-08/AB-6/AB-8 - has been a P1 security control with no requirement to trace and no AC to verify. That gap is DEF-086, which this row closes. THE PORT WIDENING, recorded BEFORE the code exactly as SC-011 and SC-017 were: the visibility predicate must decide, for a whole page of topics, which ones the caller holds a capability on. ITopicCapabilityResolver answers per-resource and issues one uncached query per authorization, so using it as-is is an N+1 over every backlog row. It must gain a way to return the caller's granted topic ids in ONE call. That is a cross-module contract change (Membership implements, the shared kernel declares), not an implementation detail.",1,Merged,"{""approved_by"": ""Operator, 2026-08-18, in a dedicated interview."", ""delta_applied"": ""FR-163 created (Approved, mvp=1, priority M)."", ""scope_note"": ""The operator additionally chose FULL EGRESS REDACTION and a SINGLE slice rather than the two-slice split recommended against INV-012. Recorded in DEC-060 conflicts_stated; no invariant is violated, so no ADR is required."", ""fixes"": ""DEF-086""}",
SC-020,DEC-060,"RECLASSIFIES 24 REQUIREMENTS FROM Approved TO Deferred - the ones VERIFIED absent from source by the DW-029 classification sweep of 2026-08-18. WHY THIS IS NOT THE DEF-010 MANUFACTURED-STATUS MOVE: DEF-010 records status being advanced to look done. This moves status DOWNWARD, to say 'not in v1', which is the honest label for work that was never built. Afterwards requirement status finally discriminates: Implemented (64) = built AND evidenced by a Met acceptance criterion; Approved (137) = v1 work awaiting an AC; Deferred (24) = not in v1. HOW THE 24 WERE ESTABLISHED, and this is the part that matters: NOT from the mvp/Phase attributes. Those record the ORIGINAL scoping, which the P1-P19 ladder outgrew - of the 53 mvp=0 requirements, roughly 30 turned out to be BUILT (the ADR and invariant modules, the wiki, reports, the impact graph, research missions, guest access, promote-decision-to-ADR). Each of the 24 was checked against src/. TWO WERE ADDED AFTER A SECOND CORRECTION: FR-035 and FR-036 were first classified BUILT because Calendar.tsx and Timeline.tsx exist; both are deliberate honest SHELLS that say so in their own headers (Timeline draws six empty week columns, Calendar places no markers). File existence is not implementation. THE 24: FR-032, FR-035, FR-036, FR-058, FR-059, FR-060, FR-076, FR-108, FR-109, FR-110, FR-112, FR-121, FR-122, FR-123, FR-124, FR-125, FR-126, FR-127, FR-128, FR-133, FR-134, FR-149, FR-154, FR-155.",1,Merged,"{""approved_by"": ""Operator, 2026-08-18 - approved twice: once at 22 rows, then re-approved at 24 after I disclosed that FR-035/FR-036 had been misclassified from file existence."", ""ordering_disclosure"": ""The delta was applied minutes BEFORE this row was written, in the same session and after explicit operator approval. The obligation is SC-first; recording the deviation rather than back-dating the row."", ""verifier"": ""Trap-14 verifier run and PASSED: a SHA256 pre-image of all 24 rows excluding lifecycle_status was taken before the write and re-derived after - byte-identical (6bbff04e70fbfd04a16aa7cfd9e76e144245cdc9138f6b89e0252ce06cd93179). All 24 read Deferred; zero rows outside the approved set changed status."", ""backing"": ""16 carry a pre-existing DW- row; FR-108/109 are covered by DEC-062 (transcribing a 2026-07-04 operator decision that lived only in InvariantStatus.cs:7); FR-032/134/154/155 got DW-033/034/035/036 and FR-035 got DW-037, all created in this session. Nothing is deferred without a stated trigger.""}",
SC-021,DEC-063,"CORRECTS WBS-22.3's ENUMERATION OF EGRESS SURFACES: removes notification bodies, adds the Dependencies module. The criterion (AC-114) and the slice's scope are UNCHANGED - what changes is the list of places the redaction lands, which WBS-22.3 got factually wrong in two directions. (1) REMOVE notification bodies. WBS-22.3's note asserts 'the builders take a restriction flag rather than being redacted on read'. Reading the source: TopicNotifications.cs builds exactly three messages - TopicPrepared, TopicRejected, TopicSlaBreached - and NONE interpolates a topic TITLE; each carries only the topic KEY. Their recipients are the Secretary roster (PrepareTopic, SweepTopicSla) and topic.SubmittedBySub (RejectTopic), i.e. committee-wide readers under DEC-063 d1 or the topic's own owner. MeetingNotifications and MinutesNotifications interpolate the MEETING title, not a topic's. There is therefore nothing to redact and no builder flag was written. (2) ADD the Dependencies module - DEF-090. Dependency.FromKey/FromTitle and ToKey/ToTitle are create-time topic snapshots of exactly the same kind, projected by three read-all handlers and fed into GetImpactGraph. AC-114 does not name them, yet the AC's own absence clause names REPORTS, and the Reports surface loads useDependenciesRegister. Built and tested in this slice on that reading. WHY THIS ROW EXISTS RATHER THAN A SILENT EDIT: WBS-22.3 is an approved plan row, and I both skipped something it lists and built something it does not. That is a deviation from the approved plan however sound the reasoning, and the obligation is to record it FIRST and let the operator rule - plan approval is not scope-change approval (LL-002). If the operator rejects the Dependencies half, the fix reverts and DEF-090 becomes a DW- row instead; nothing else in the slice depends on it. ALSO CONSIDERED AND RULED OUT OF CLASS, recorded so a later sweep does not re-derive it: Meeting Discussion bodies (Discussion.Body) are authored in Meetings about a topic rather than copied out of one, so no projection-time redaction can be derived from the topic's own data.",1,Merged,"{""approved_by"": ""Operator, 2026-08-19 - approved BOTH halves in the interview, choosing that over the variant that would have rewritten WBS-22.3's text first."", ""application_note"": ""THE DELTA IS APPLIED BY THIS ROW, NOT BY EDITING WBS-22.3. The operator was offered a variant that rewrote WBS-22.3's title and note to drop notification bodies and name Dependencies, and chose the plain approval instead - so WBS-22.3 keeps its as-approved text and THIS row plus its scope_modifies edges (-> WBS-22.3, -> AC-114) are the record of the correction. That is deliberate and is not an oversight: anyone reading WBS-22.3's enumeration must follow the edge to here. Recorded explicitly so a later integrity sweep does not read the unedited row as drift."", ""evidence_kind"": ""ANALYSIS, not measurement - both halves come from reading the source and its call sites. The Dependencies half is additionally proven BUILT by ConfidentialEgressTests and ConfidentialEgressSqlTests; the notification half is a negative claim about what the code contains, and a negative is only as good as the reading behind it."", ""found_by"": ""SL-030 egress sweep, 2026-08-19 - reading each surface the plan named instead of trusting the list (LL-006). The sweep moved in BOTH directions, which is the shape LL-006 warns about.""}",2026-08-19T00:14:47Z
SC-022,DEC-064,"CLASSIFIES FR-097 WITH THE TARSEEM FAMILY (DEC-028) BY MOVING IT Approved -> Deferred. FR-097 reads 'A dependency graph view (rendered via Tarseem dependency family) shall be available on the topic detail page and the dependency module view'. Its DATA half is built and shipped - the Dependencies module, IDependencyArtifactReader, the SPA dependency and traceability surfaces, and the GetImpactGraph composer. Its RENDERING half does not exist: no tarseem or diagram path exists anywhere in src, because P14 / SL-014 is deferred indefinitely by DEC-028. WHAT CHANGES: only FR-097's lifecycle_status. THE REQUIREMENT TEXT IS NOT TOUCHED. WHY NOT REWORD IT INSTEAD, which was the other option on the table: rewording a requirement to match what was built is the one direction DEF-088's own row flags as never-to-be-done-silently, and the operator rejected it in the 2026-08-19 interview. Dropping the Tarseem clause would have made FR-097 read as fully satisfied forever, erasing the fact that a specified rendering was never built. Deferring it instead puts FR-097 alongside every other Tarseem item, where the unbuilt half is visible in the register rather than silent. ⚠ THIS IS A PARTIAL DEFERRAL AND THE STATUS CANNOT SAY SO. A Deferred label on FR-097 will read as 'none of this was built', which is wrong - the dependency graph works today, it is only the Tarseem rendering that does not. That imprecision is accepted deliberately because the register has no half-built status, and it is recorded HERE so a later sweep does not read the Deferred label as evidence the dependency surfaces are missing and 'restore' them.",1,Merged,"{""approved_by"": ""Operator, 2026-08-19 interview - chose 'classify FR-097 with the Tarseem family under DEC-028' over 'reword FR-097 to drop the Tarseem clause' and over leaving DEF-088 open."", ""closes"": ""DEF-088"", ""reversal"": ""If P14 is ever re-opened by explicit operator instruction (DEC-028's own condition, tracked by DW-011), FR-097 returns to Approved with the rest of the family - no new scope change is needed to undo this, only the same instruction that revives Tarseem.""}",
