id,title,measure,target,lifecycle_status,disposition,disposition_reason_ref,source_kind,source_span,custom_attributes,last_referenced
KPI-011,Action Overdue Rate,Daily,,Approved,,,,,"{""v1"": {""ID"": ""KPI-011"", ""Name"": ""Action Overdue Rate"", ""Owner"": ""Secretary"", ""Cadence"": ""Daily"", ""Dashboard"": ""DB-10""}}",
KPI-012,Verified Completion Rate,Monthly,,Approved,,,,,"{""v1"": {""ID"": ""KPI-012"", ""Name"": ""Verified Completion Rate"", ""Owner"": ""Secretary"", ""Cadence"": ""Monthly"", ""Dashboard"": ""DB-19""}}",
KPI-013,Open Critical Risk Count,Daily,,Approved,,,,,"{""v1"": {""ID"": ""KPI-013"", ""Name"": ""Open Critical Risk Count"", ""Owner"": ""Chairman"", ""Cadence"": ""Daily"", ""Dashboard"": ""DB-01, DB-11""}}",
KPI-014,Risks Without Mitigation,Weekly,,Approved,,,,,"{""v1"": {""ID"": ""KPI-014"", ""Name"": ""Risks Without Mitigation"", ""Owner"": ""Secretary"", ""Cadence"": ""Weekly"", ""Dashboard"": ""DB-11""}}",
KPI-015,Attendance Rate,Per-meeting,,Approved,,,,,"{""v1"": {""ID"": ""KPI-015"", ""Name"": ""Attendance Rate"", ""Owner"": ""Chairman"", ""Cadence"": ""Per-meeting"", ""Dashboard"": ""DB-17""}}",
KPI-016,Quorum Compliance Rate,Per-vote,,Approved,,,,,"{""v1"": {""ID"": ""KPI-016"", ""Name"": ""Quorum Compliance Rate"", ""Owner"": ""Chairman, Auditor"", ""Cadence"": ""Per-vote"", ""Dashboard"": ""DB-16""}}",
KPI-017,ADR Coverage Rate,Monthly,,Approved,,,,,"{""v1"": {""ID"": ""KPI-017"", ""Name"": ""ADR Coverage Rate"", ""Owner"": ""Auditor"", ""Cadence"": ""Monthly"", ""Dashboard"": ""DB-15""}}",
KPI-018,Governance Maturity Index,Monthly,,Approved,,,,,"{""v1"": {""ID"": ""KPI-018"", ""Name"": ""Governance Maturity Index"", ""Owner"": ""Chairman"", ""Cadence"": ""Monthly"", ""Dashboard"": ""DB-01, DB-24""}}",
KPI-019,Invariant Violation Rate,Monthly,,Approved,,,,,"{""v1"": {""ID"": ""KPI-019"", ""Name"": ""Invariant Violation Rate"", ""Owner"": ""Auditor"", ""Cadence"": ""Monthly"", ""Dashboard"": ""DB-24""}}",
KPI-020,Research Conversion Rate,Quarterly,,Approved,,,,,"{""v1"": {""ID"": ""KPI-020"", ""Name"": ""Research Conversion Rate"", ""Owner"": ""Secretary"", ""Cadence"": ""Quarterly"", ""Dashboard"": ""DB-18""}}",
KPI-021,MoM Publication Timeliness,Per-meeting,,Approved,,,,,"{""v1"": {""ID"": ""KPI-021"", ""Name"": ""MoM Publication Timeliness"", ""Owner"": ""Secretary"", ""Cadence"": ""Per-meeting"", ""Dashboard"": ""DB-17""}}",
